,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
20190219,1.0146923931568277,1.0386756388101301,0.9998391901097945,1.0064232325979547,0.9990605409076344,1.007659708005636,0.9811933264122865,1.009711933338825,0.998000849339344,1.0013905349966479
20190220,1.0140972088898503,1.0395843671473104,1.0035698936264406,1.0100424948362423,0.9990431894410289,1.008176728472817,0.9790580692462244,1.0095495951376234,0.9976974281924953,1.0008343615601214
20190221,1.0146812850439175,1.0451681207495749,1.004323995947617,1.012585251507145,1.0006269144355282,1.011084135418029,0.9788476587715976,1.0067759004082493,0.9971308170855105,1.000359863423334
20190222,1.0176545836922692,1.0507040816151478,1.0016022875739572,1.0146326965891665,1.0025655823405457,1.0130702823511888,0.9796576808898774,1.0057547847057997,0.9961748806446625,1.0028340616685985
20190225,1.0186522556350823,1.052223910201584,0.9975539807958551,1.0139731091747513,1.0038508956485352,1.0143654121701806,0.9785961700857085,1.0039388669235731,0.9945847304927701,1.0057938915461793
20190226,1.0159533389471902,1.0526563061486056,0.9973484636034924,1.0153145688048508,1.0042357383870417,1.01582178645831,0.9774309659234117,1.0034382714248635,0.9941136790220916,1.0066281427350559
20190227,1.0141317476741387,1.0518486816108583,0.9966616160196036,1.010224260293911,1.0032402374240073,1.0141554499794379,0.9794542545446507,1.003266748677655,0.9947272954743218,1.0052252599326714
20190228,1.016939387633701,1.0533427092263996,0.9977881117812707,1.0123355348855778,1.002795866201664,1.0141796511908194,0.9781785373996638,1.0022644705971586,0.9951426798077384,1.0063225415051797
20190301,1.0176166257027603,1.0550150224637724,0.9984413098022855,1.0178676223391485,1.0041895079616683,1.0144315886980666,0.9780139420046756,1.001884507133064,0.9953417101294008,1.0068869540924168
20190304,1.0149031211347928,1.0608855316559165,0.9966217763507554,1.0233776099377048,1.0065182816982832,1.0170330766670996,0.9767217866849967,1.001664836242791,0.9944402914517538,1.0078913666269378
20190305,1.0119154805153356,1.0612962270877462,0.9887486597218533,1.0259014764935714,1.007277019062131,1.0198621552086884,0.9775021048374499,0.999629648406984,0.9922935556470569,1.0096913740442433
20190306,1.0057929248933937,1.062525178107397,0.9837488346739565,1.0275375569525327,1.0098088167948285,1.0237677655940725,0.978680108788041,0.9957993763883304,0.9895344631552238,1.0122663608150784
20190307,1.010121786109876,1.060126801083111,0.9883008429592713,1.0243618288591994,1.010965676324721,1.0189021278039838,0.9755384207200262,0.9952947734548444,0.9908993290076378,1.0099421099634573
20190308,1.0060349872040821,1.0628162311052023,0.9877280610529399,1.0206435540634498,1.0128028357951537,1.0180897332902923,0.9751586050270235,0.9943967887166446,0.9903773365237869,1.0095836483341891
20190311,1.0042590104073503,1.0634601922756417,0.9885469088826165,1.0263291679853666,1.0142899611219998,1.0183031656306867,0.9728798194706726,0.9945872626999644,0.9905461292467262,1.0087087546323834
20190312,1.0016700710067006,1.0655851783948558,0.9931461973816763,1.0268335351284896,1.0132932641994146,1.0176749846543192,0.9693948169309967,0.9973385659920928,0.990688885378425,1.0078626107420339
20190313,1.0054858110313594,1.0647004235304247,0.9974007891493116,1.0203621426928788,1.0120560477837317,1.0150211156673203,0.9701910481685684,1.000222847584602,0.9917839808108418,1.0072404913181783
20190314,1.002388590870158,1.06761894968399,0.9994525249726334,1.0199070408985147,1.0111970120691431,1.0150228198614615,0.9680142658204798,1.0011621876130645,0.992494835911565,1.0083604016505292
20190315,1.0039321977025475,1.0698379275867296,1.001391604208525,1.0176105713049806,1.0106855034932434,1.0148343051235498,0.9685694106682969,1.00322108813239,0.9924333021816252,1.0087898456262303
20190318,1.0022574292487814,1.06905502195695,1.0005099118680176,1.0188837222211131,1.011495880509398,1.0147287363455415,0.9689565193221057,1.0036622930429853,0.9915887402327761,1.0091266620213282
20190319,0.9996161677061479,1.0705195703015122,0.9994273335937575,1.0192895515991927,1.0110003266700416,1.016339944941526,0.9686321711288176,1.0040132943896425,0.9909789721394133,1.0098940258546854
20190320,0.9980546160183368,1.0718978690849577,0.9980455726395125,1.021563883855826,1.0119006543370879,1.0184884194433026,0.9665517070358673,1.002237635420617,0.9913239623256345,1.0095233928790963
20190321,0.9969140433945342,1.0735379497382522,1.0002375960604633,1.0202347273383374,1.0126944611894184,1.019911086764002,0.9640348780858371,1.0005446500545105,0.9918632911840928,1.009068392028774
20190322,0.9930091858698263,1.0704983217084842,1.0020545119807693,1.0192278514460806,1.0135973720900557,1.0194744656184718,0.9621079475951766,0.9989956251259923,0.9922483540642812,1.0105696524088867
20190325,0.993520607234525,1.0664743311024716,1.0042901775745403,1.018297271978588,1.0107930769210296,1.016249965388511,0.96205084988038,1.0021674851319173,0.9917005439298231,1.0095902039867664
20190326,0.9941782342894817,1.0644823900045928,1.0048491154378587,1.0169184278103507,1.0110004857112516,1.0142193815383442,0.9632412705351603,1.0048456972238127,0.9908946510565002,1.0084784515481164
20190327,0.9948366577833059,1.0646373840216503,1.0065529398282462,1.0130628848030805,1.008744042369377,1.0127617799751114,0.961401748742609,1.0049462583284767,0.991835644234784,1.0071123057828286
20190328,0.9969751353991098,1.071272514672664,1.0109758027130864,1.0124096909058036,1.008508891818135,1.0130976130122125,0.9602841041125232,1.0049894493744371,0.9921076460328933,1.008427001604299
20190329,0.9966431009651904,1.0757701758372267,1.0116333260531045,1.0154265097113795,1.0098973609622675,1.0132368004220036,0.9601041375303223,1.006546785732678,0.9921167317522934,1.0097451160055535
20190401,0.9953685048269308,1.07792595390831,1.0093895391545653,1.0169234752349026,1.0112512392579478,1.0132222930968435,0.959668635537959,1.007272676315281,0.9920053276821074,1.009609540436527
20190402,0.9952587828867387,1.0821351798982521,1.0058460294217502,1.0151419407569702,1.009685921069705,1.0156179163192474,0.9583225928061426,1.0065966876931538,0.992724964833006,1.0094567413078075
